Date,Price,Open,High,Low,Vol.,Change %
01-Feb-16,"6,060.10","6,083.79","6,115.11","5,993.84",833.65M,-0.39%
02-Feb-16,"5,922.01","6,060.10","6,060.45","5,889.60",1.02B,-2.28%
03-Feb-16,"5,837.14","5,922.01","5,924.58","5,791.04",1.03B,-1.43%
04-Feb-16,"5,898.76","5,837.14","5,938.12","5,831.12",1.05B,1.06%
05-Feb-16,"5,848.06","5,898.76","5,945.90","5,839.36",983.67M,-0.86%
08-Feb-16,"5,689.36","5,848.06","5,882.43","5,666.13",995.84M,-2.71%
09-Feb-16,"5,632.19","5,689.36","5,739.25","5,596.26",1.15B,-1.00%
10-Feb-16,"5,672.30","5,632.19","5,712.78","5,616.88",994.63M,0.71%
11-Feb-16,"5,536.97","5,672.30","5,672.30","5,499.51",1.07B,-2.39%
12-Feb-16,"5,707.60","5,536.97","5,707.60","5,536.97",1.08B,3.08%
15-Feb-16,"5,824.28","5,707.60","5,844.53","5,707.60",724.66M,2.04%
16-Feb-16,"5,862.17","5,824.28","5,880.72","5,812.49",771.10M,0.65%
17-Feb-16,"6,030.32","5,862.17","6,030.32","5,862.17",948.75M,2.87%
18-Feb-16,"5,971.95","6,030.32","6,036.46","5,948.25",809.87M,-0.97%
19-Feb-16,"5,950.23","5,971.95","6,001.22","5,916.26",692.90M,-0.36%
22-Feb-16,"6,037.73","5,950.23","6,065.81","5,950.23",822.11M,1.47%
23-Feb-16,"5,962.31","6,037.73","6,037.73","5,954.18",747.39M,-1.25%
24-Feb-16,"5,867.18","5,962.31","5,966.73","5,845.55",834.68M,-1.60%
25-Feb-16,"6,012.81","5,867.18","6,028.97","5,867.18",999.96M,2.48%
26-Feb-16,"6,096.01","6,012.81","6,115.37","6,012.81",858.94M,1.38%
29-Feb-16,"6,097.09","6,096.01","6,104.98","6,033.21",941.71M,0.02%
01-Mar-16,"6,152.88","6,097.09","6,153.75","6,070.51",933.63M,0.92%
02-Mar-16,"6,147.06","6,152.88","6,194.01","6,097.77",904.55M,-0.09%
03-Mar-16,"6,130.46","6,147.06","6,173.70","6,108.35",902.84M,-0.27%
04-Mar-16,"6,199.43","6,130.46","6,204.14","6,130.46",866.05M,1.13%
07-Mar-16,"6,182.40","6,199.43","6,216.10","6,125.64",817.96M,-0.27%
08-Mar-16,"6,125.44","6,182.40","6,182.45","6,101.89",913.52M,-0.92%
09-Mar-16,"6,146.32","6,125.44","6,174.82","6,118.23",758.33M,0.34%
10-Mar-16,"6,036.70","6,146.32","6,203.40","6,036.70",1.06B,-1.78%
11-Mar-16,"6,139.79","6,036.70","6,150.88","6,036.70",721.70M,1.71%
14-Mar-16,"6,174.57","6,139.79","6,197.83","6,139.79",688.59M,0.57%
15-Mar-16,"6,139.97","6,174.57","6,174.57","6,114.77",700.31M,-0.56%
16-Mar-16,"6,175.49","6,139.97","6,186.18","6,134.27",700.76M,0.58%
17-Mar-16,"6,201.12","6,175.49","6,220.02","6,125.70",832.61M,0.42%
18-Mar-16,"6,189.64","6,201.12","6,237.02","6,186.24",1.13B,-0.19%
21-Mar-16,"6,184.58","6,189.64","6,215.30","6,154.12",532.07M,-0.08%
22-Mar-16,"6,192.74","6,184.58","6,193.47","6,110.39",738.98M,0.13%
23-Mar-16,"6,199.11","6,192.74","6,216.76","6,171.13",621.50M,0.10%
24-Mar-16,"6,106.48","6,199.11","6,199.11","6,090.03",625.28M,-1.49%
29-Mar-16,"6,105.90","6,106.48","6,156.67","6,070.77",596.33M,-0.01%
30-Mar-16,"6,203.17","6,105.90","6,221.80","6,105.90",803.81M,1.59%
31-Mar-16,"6,174.90","6,203.17","6,203.39","6,149.82",746.40M,-0.46%
01-Apr-16,"6,146.05","6,174.90","6,174.90","6,076.89",747.48M,-0.47%
04-Apr-16,"6,164.72","6,146.05","6,201.95","6,132.90",546.68M,0.30%
05-Apr-16,"6,091.23","6,164.72","6,164.74","6,061.85",826.02M,-1.19%
06-Apr-16,"6,161.63","6,091.23","6,161.63","6,091.23",738.66M,1.16%
